id_trab,id_turno,lv,sab,dom,fest,v
PAT008,VADN181,1,1,0,1,0
PAT009,VADN173,1,1,0,1,0
PAT009,VADN181,1,1,0,1,0
PAT010,VADN001,1,1,0,1,0
PAT010,VADN002,1,1,0,1,0
PAT010,VADN003,1,1,0,1,0
PAT010,VADN004,1,0,0,1,0
PAT010,VADN005,1,1,1,1,0
PAT010,VADN006,1,1,0,1,0
PAT010,VADN022,1,1,1,1,0
PAT010,VADN025,1,1,1,1,0
PAT010,VADN028,1,1,1,1,0
PAT010,VADN029,1,1,1,1,0
PAT010,VADN030,1,1,0,1,0
PAT010,VADN031,1,1,0,1,0
PAT010,VADN032,1,0,0,1,0
PAT010,VADN034,1,1,0,1,0
PAT010,VADN040,1,0,1,0,0
PAT010,VADN051,1,1,1,1,0
PAT010,VADN052,1,1,1,1,0
PAT010,VADN027,0,1,0,1,0
PAT010,VADN038,0,1,0,1,0
PAT010,VADN026,0,1,0,1,0
PAT010,VADN152,1,1,0,1,0
PAT011,VADN001,1,1,0,1,0
PAT011,VADN002,1,1,0,1,0
PAT011,VADN003,1,1,0,1,0
PAT011,VADN004,1,0,0,1,0
PAT011,VADN005,1,1,1,1,0
PAT011,VADN006,1,1,0,1,0
PAT011,VADN022,1,1,1,1,0
PAT011,VADN025,1,1,1,1,0
PAT011,VADN028,1,1,1,1,0
PAT011,VADN029,1,1,1,1,0
PAT011,VADN030,1,1,0,1,0
PAT011,VADN031,1,1,0,1,0
PAT011,VADN032,1,0,0,1,0
PAT011,VADN034,1,1,0,1,0
PAT011,VADN040,1,0,1,0,0
PAT011,VADN051,1,1,1,1,0
PAT011,VADN052,1,1,1,1,0
PAT011,VADN027,0,1,0,1,0
PAT011,VADN038,0,1,0,1,0
PAT011,VADN026,0,1,0,1,0
PAT011,VADN152,1,1,0,1,0
PAT012,VADN001,1,1,0,1,0
PAT012,VADN002,1,1,0,1,0
PAT012,VADN003,1,1,0,1,0
PAT012,VADN004,1,0,0,1,0
PAT012,VADN005,1,1,1,1,0
PAT012,VADN006,1,1,0,1,0
PAT012,VADN022,1,1,1,1,0
PAT012,VADN025,1,1,1,1,0
PAT012,VADN028,1,1,1,1,0
PAT012,VADN029,1,1,1,1,0
PAT012,VADN030,1,1,0,1,0
PAT012,VADN031,1,1,0,1,0
PAT012,VADN032,1,0,0,1,0
PAT012,VADN034,1,1,0,1,0
PAT012,VADN040,1,0,1,0,0
PAT012,VADN051,1,1,1,1,0
PAT012,VADN052,1,1,1,1,0
PAT012,VADN027,0,1,0,1,0
PAT012,VADN038,0,1,0,1,0
PAT012,VADN026,0,1,0,1,0
PAT012,VADN152,1,1,0,1,0
PAT013,VADN001,1,1,0,1,0
PAT013,VADN002,1,1,0,1,0
PAT013,VADN003,1,1,0,1,0
PAT013,VADN004,1,0,0,1,0
PAT013,VADN005,1,1,1,1,0
PAT013,VADN006,1,1,0,1,0
PAT013,VADN022,1,1,1,1,0
PAT013,VADN025,1,1,1,1,0
PAT013,VADN028,1,1,1,1,0
PAT013,VADN029,1,1,1,1,0
PAT013,VADN030,1,1,0,1,0
PAT013,VADN031,1,1,0,1,0
PAT013,VADN032,1,0,0,1,0
PAT013,VADN034,1,1,0,1,0
PAT013,VADN040,1,0,1,0,0
PAT013,VADN051,1,1,1,1,0
PAT013,VADN052,1,1,1,1,0
PAT013,VADN027,0,1,0,1,0
PAT013,VADN038,0,1,0,1,0
PAT013,VADN026,0,1,0,1,0
PAT013,VADN152,1,1,0,1,0
PAT014,VADN001,1,1,0,1,0
PAT014,VADN002,1,1,0,1,0
PAT014,VADN003,1,1,0,1,0
PAT014,VADN004,1,0,0,1,0
PAT014,VADN005,1,1,1,1,0
PAT014,VADN006,1,1,0,1,0
PAT014,VADN022,1,1,1,1,0
PAT014,VADN025,1,1,1,1,0
PAT014,VADN028,1,1,1,1,0
PAT014,VADN029,1,1,1,1,0
PAT014,VADN030,1,1,0,1,0
PAT014,VADN031,1,1,0,1,0
PAT014,VADN032,1,0,0,1,0
PAT014,VADN034,1,1,0,1,0
PAT014,VADN040,1,0,1,0,0
PAT014,VADN051,1,1,1,1,0
PAT014,VADN052,1,1,1,1,0
PAT014,VADN027,0,1,0,1,0
PAT014,VADN038,0,1,0,1,0
PAT014,VADN026,0,1,0,1,0
PAT014,VADN152,1,1,0,1,0
PAT015,VADN001,1,1,0,1,0
PAT015,VADN002,1,1,0,1,0
PAT015,VADN003,1,1,0,1,0
PAT015,VADN004,1,0,0,1,0
PAT015,VADN005,1,1,1,1,0
PAT015,VADN006,1,1,0,1,0
PAT015,VADN022,1,1,1,1,0
PAT015,VADN025,1,1,1,1,0
PAT015,VADN028,1,1,1,1,0
PAT015,VADN029,1,1,1,1,0
PAT015,VADN030,1,1,0,1,0
PAT015,VADN031,1,1,0,1,0
PAT015,VADN032,1,0,0,1,0
PAT015,VADN034,1,1,0,1,0
PAT015,VADN040,1,0,1,0,0
PAT015,VADN051,1,1,1,1,0
PAT015,VADN052,1,1,1,1,0
PAT015,VADN027,0,1,0,1,0
PAT015,VADN038,0,1,0,1,0
PAT015,VADN026,0,1,0,1,0
PAT015,VADN152,1,1,0,1,0
PAT016,VADN001,1,1,0,1,0
PAT016,VADN002,1,1,0,1,0
PAT016,VADN003,1,1,0,1,0
PAT016,VADN004,1,0,0,1,0
PAT016,VADN005,1,1,1,1,0
PAT016,VADN006,1,1,0,1,0
PAT016,VADN022,1,1,1,1,0
PAT016,VADN025,1,1,1,1,0
PAT016,VADN028,1,1,1,1,0
PAT016,VADN029,1,1,1,1,0
PAT016,VADN030,1,1,0,1,0
PAT016,VADN031,1,1,0,1,0
PAT016,VADN032,1,0,0,1,0
PAT016,VADN034,1,1,0,1,0
PAT016,VADN040,1,0,1,0,0
PAT016,VADN051,1,1,1,1,0
PAT016,VADN052,1,1,1,1,0
PAT016,VADN027,0,1,0,1,0
PAT016,VADN038,0,1,0,1,0
PAT016,VADN026,0,1,0,1,0
PAT016,VADN152,1,1,0,1,0
PAT017,VADN001,1,1,0,1,0
PAT017,VADN002,1,1,0,1,0
PAT017,VADN003,1,1,0,1,0
PAT017,VADN004,1,0,0,1,0
PAT017,VADN005,1,1,1,1,0
PAT017,VADN006,1,1,0,1,0
PAT017,VADN022,1,1,1,1,0
PAT017,VADN025,1,1,1,1,0
PAT017,VADN028,1,1,1,1,0
PAT017,VADN029,1,1,1,1,0
PAT017,VADN030,1,1,0,1,0
PAT017,VADN031,1,1,0,1,0
PAT017,VADN032,1,0,0,1,0
PAT017,VADN034,1,1,0,1,0
PAT017,VADN040,1,0,1,0,0
PAT017,VADN051,1,1,1,1,0
PAT017,VADN052,1,1,1,1,0
PAT017,VADN027,0,1,0,1,0
PAT017,VADN038,0,1,0,1,0
PAT017,VADN026,0,1,0,1,0
PAT017,VADN152,1,1,0,1,0
PAT018,VADN001,1,1,0,1,0
PAT018,VADN002,1,1,0,1,0
PAT018,VADN003,1,1,0,1,0
PAT018,VADN004,1,0,0,1,0
PAT018,VADN005,1,1,1,1,0
PAT018,VADN006,1,1,0,1,0
PAT018,VADN022,1,1,1,1,0
PAT018,VADN025,1,1,1,1,0
PAT018,VADN028,1,1,1,1,0
PAT018,VADN029,1,1,1,1,0
PAT018,VADN030,1,1,0,1,0
PAT018,VADN031,1,1,0,1,0
PAT018,VADN032,1,0,0,1,0
PAT018,VADN034,1,1,0,1,0
PAT018,VADN040,1,0,1,0,0
PAT018,VADN051,1,1,1,1,0
PAT018,VADN052,1,1,1,1,0
PAT018,VADN027,0,1,0,1,0
PAT018,VADN038,0,1,0,1,0
PAT018,VADN026,0,1,0,1,0
PAT018,VADN152,1,1,0,1,0
PAT019,VADN001,1,1,0,1,0
PAT019,VADN002,1,1,0,1,0
PAT019,VADN003,1,1,0,1,0
PAT019,VADN004,1,0,0,1,0
PAT019,VADN005,1,1,1,1,0
PAT019,VADN006,1,1,0,1,0
PAT019,VADN022,1,1,1,1,0
PAT019,VADN025,1,1,1,1,0
PAT019,VADN028,1,1,1,1,0
PAT019,VADN029,1,1,1,1,0
PAT019,VADN030,1,1,0,1,0
PAT019,VADN031,1,1,0,1,0
PAT019,VADN032,1,0,0,1,0
PAT019,VADN034,1,1,0,1,0
PAT019,VADN040,1,0,1,0,0
PAT019,VADN051,1,1,1,1,0
PAT019,VADN052,1,1,1,1,0
PAT019,VADN027,0,1,0,1,0
PAT019,VADN038,0,1,0,1,0
PAT019,VADN026,0,1,0,1,0
PAT019,VADN152,1,1,0,1,0
PAT020,VADN001,1,1,0,1,0
PAT020,VADN002,1,1,0,1,0
PAT020,VADN003,1,1,0,1,0
PAT020,VADN004,1,0,0,1,0
PAT020,VADN005,1,1,1,1,0
PAT020,VADN006,1,1,0,1,0
PAT020,VADN022,1,1,1,1,0
PAT020,VADN025,1,1,1,1,0
PAT020,VADN028,1,1,1,1,0
PAT020,VADN029,1,1,1,1,0
PAT020,VADN030,1,1,0,1,0
PAT020,VADN031,1,1,0,1,0
PAT020,VADN032,1,0,0,1,0
PAT020,VADN034,1,1,0,1,0
PAT020,VADN040,1,0,1,0,0
PAT020,VADN051,1,1,1,1,0
PAT020,VADN052,1,1,1,1,0
PAT020,VADN027,0,1,0,1,0
PAT020,VADN038,0,1,0,1,0
PAT020,VADN026,0,1,0,1,0
PAT020,VADN152,1,1,0,1,0
PAT021,VADN001,1,1,0,1,0
PAT021,VADN002,1,1,0,1,0
PAT021,VADN003,1,1,0,1,0
PAT021,VADN004,1,0,0,1,0
PAT021,VADN005,1,1,1,1,0
PAT021,VADN006,1,1,0,1,0
PAT021,VADN022,1,1,1,1,0
PAT021,VADN025,1,1,1,1,0
PAT021,VADN028,1,1,1,1,0
PAT021,VADN029,1,1,1,1,0
PAT021,VADN030,1,1,0,1,0
PAT021,VADN031,1,1,0,1,0
PAT021,VADN032,1,0,0,1,0
PAT021,VADN034,1,1,0,1,0
PAT021,VADN040,1,0,1,0,0
PAT021,VADN051,1,1,1,1,0
